"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 13, 2018","60.60","60.60","60.60","60.60","-","-0.25%"
"Jun 12, 2018","60.75","60.75","60.75","60.75","-","0.00%"
"Jun 11, 2018","60.75","60.75","60.75","60.75","-","-0.33%"
"Jun 08, 2018","60.95","60.95","60.95","60.95","-","0.16%"
"Jun 07, 2018","60.85","60.85","60.85","60.85","-","0.00%"
"Jun 06, 2018","60.85","60.85","60.85","60.85","-","-0.33%"
"Jun 05, 2018","61.05","61.05","61.05","61.05","-","0.00%"
"Jun 04, 2018","61.05","61.05","61.05","61.05","-","-0.16%"
"Jun 01, 2018","61.15","61.15","61.15","61.15","-","0.00%"
"May 31, 2018","61.15","61.15","61.15","61.15","-","0.00%"
"May 30, 2018","61.15","61.15","61.15","61.15","-","0.16%"
"May 29, 2018","61.05","61.05","61.05","61.05","-","0.00%"
"May 28, 2018","61.05","61.05","61.05","61.05","-","2.52%"
"May 25, 2018","59.55","59.55","59.55","59.55","-","0.00%"
"May 24, 2018","59.55","59.55","59.55","59.55","-","0.00%"
"May 23, 2018","59.55","59.55","59.55","59.55","-","0.00%"
"May 22, 2018","59.55","59.55","59.55","59.55","-","1.02%"
"May 21, 2018","58.95","58.95","58.95","58.95","-","1.11%"
"May 18, 2018","58.30","58.30","58.30","58.30","-","0.43%"
"May 17, 2018","58.05","58.05","58.05","58.05","-","1.31%"
"May 16, 2018","57.30","57.30","57.30","57.30","-","0.00%"
"May 15, 2018","57.30","57.30","57.30","57.30","-","0.00%"
"May 14, 2018","57.30","57.30","57.30","57.30","-","1.33%"
"May 11, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"May 10, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"May 09, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"May 08, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"May 07, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"May 04, 2018","56.55","56.55","56.55","56.55","-","-0.18%"
"May 03, 2018","56.65","56.65","56.65","56.65","-","0.00%"
"May 02, 2018","56.65","56.65","56.65","56.65","-","0.18%"
"May 01, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"Apr 30, 2018","56.55","56.55","56.55","56.55","-","0.00%"
"Apr 27, 2018","56.55","56.55","56.55","56.55","-","0.89%"
"Apr 26, 2018","56.05","56.05","56.05","56.05","-","-3.28%"
"Apr 25, 2018","57.95","57.95","57.95","57.95","-","-1.19%"
"Apr 24, 2018","58.65","58.65","58.65","58.65","-","-0.42%"
"Apr 23, 2018","58.90","58.90","58.90","58.90","-","0.00%"
"Apr 20, 2018","58.90","58.90","58.90","58.90","-","0.00%"
"Apr 19, 2018","58.90","58.90","58.90","58.90","-","-0.51%"
"Apr 18, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 17, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 16, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 13, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 12, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 11, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 10, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 09, 2018","59.20","59.20","59.20","59.20","-","0.00%"
"Apr 06, 2018","59.20","59.20","59.20","59.20","-","-1.33%"
"Apr 05, 2018","60.00","60.00","60.00","60.00","-","0.00%"
"Apr 04, 2018","60.00","60.00","60.00","60.00","-","-0.50%"
"Apr 03, 2018","60.30","60.30","60.30","60.30","-","-0.41%"
"Apr 02, 2018","60.55","60.55","60.55","60.55","-","-0.41%"
"Mar 29, 2018","60.80","60.80","60.80","60.80","-","-0.82%"
"Mar 28, 2018","61.30","61.30","61.30","61.30","-","-0.24%"
"Mar 27, 2018","61.45","61.45","61.45","61.45","-","-0.08%"
"Mar 26, 2018","61.50","61.50","61.50","61.50","-","-2.38%"
"Mar 23, 2018","63.00","63.00","63.00","63.00","-","-0.08%"
"Mar 22, 2018","63.05","63.05","63.05","63.05","-","0.00%"
"Mar 21, 2018","63.05","63.05","63.05","63.05","-","-0.24%"
"Mar 20, 2018","63.20","63.20","63.20","63.20","-","-0.16%"
"Mar 19, 2018","63.30","63.30","63.30","63.30","-","-0.16%"
"Mar 16, 2018","63.40","63.40","63.40","63.40","-","-0.24%"
"Mar 15, 2018","63.55","63.55","63.55","63.55","-","0.00%"
"Mar 14, 2018","63.55","63.55","63.55","63.55","-","-0.39%"
"Mar 13, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 12, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 09, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 08, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 07, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 06, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 05, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 02, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Mar 01, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Feb 28, 2018","63.80","63.80","63.80","63.80","-","0.00%"
"Feb 27, 2018","63.80","63.80","63.80","63.80","-","0.55%"
"Feb 26, 2018","63.45","63.45","63.45","63.45","-","-1.32%"
"Feb 23, 2018","64.30","64.30","64.30","64.30","-","0.00%"
"Feb 22, 2018","64.30","64.30","64.30","64.30","-","0.00%"
"Feb 21, 2018","64.30","64.30","64.30","64.30","-","0.00%"
"Feb 20, 2018","64.30","64.30","64.30","64.30","-","0.00%"
"Feb 19, 2018","64.30","64.30","64.30","64.30","-","0.00%"
"Feb 16, 2018","64.30","64.30","64.30","64.30","-","-0.39%"
"Feb 15, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 14, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 13, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 12, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 09, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 08, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 07, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Feb 06, 2018","64.55","64.55","64.55","64.55","-","-0.39%"
"Feb 05, 2018","64.80","64.80","64.80","64.80","-","0.00%"
"Feb 02, 2018","64.80","64.80","64.80","64.80","-","0.00%"
"Feb 01, 2018","64.80","64.80","64.80","64.80","-","0.39%"
"Jan 31, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 30, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 29, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 26, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 25, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 24, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 23, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 22, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 19, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 18, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 17, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jan 16, 2018","64.55","64.55","64.55","64.55","-","0.31%"
"Jan 15, 2018","64.35","64.35","64.35","64.35","-","0.00%"
"Jan 12, 2018","64.35","64.35","64.35","64.35","-","0.00%"
"Jan 11, 2018","64.35","64.35","64.35","64.35","-","0.00%"
"Jan 10, 2018","64.35","64.35","64.35","64.35","-","0.00%"
